City,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
Mataura,168.86,-46.19,43.0,92,98,4.0
Lavrentiya,-170.99,65.58,38.24,80,66,13.6
Bredasdorp,20.04,-34.53,59.0,82,76,5.82
Saint-Philippe,-73.48,45.36,53.42,58,75,10.29
Te Anau,167.72,-45.41,38.24,76,89,1.23
Longyearbyen,15.63,78.22,32.0,92,75,9.17
Port Elizabeth,-74.98,39.31,92.1,32,1,16.11
Severomuysk,113.57,56.17,10.36,86,54,3.76
New Norfolk,147.06,-42.78,50.67,76,90,5.82
Khatanga,102.47,71.98,20.4,83,0,7.96
Vestmanna,-7.17,62.16,44.6,81,0,2.24
Les Cayes,-73.75,18.19,83.35,77,100,13.31
Kapaa,-159.32,22.08,81.34,74,75,19.46
Torbay,-52.73,47.66,41.81,86,90,11.41
Atuona,-139.03,-9.8,79.46,73,4,9.78
Cape Town,18.42,-33.93,61.2,87,20,8.05
Punta Arenas,-70.91,-53.16,49.39,53,75,32.21
Busselton,115.35,-33.64,54.66,69,76,9.4
Muravlenko,74.5,63.79,45.76,95,100,19.3
Vila Franca do Campo,-25.43,37.72,71.89,83,20,20.8
Kloulklubed,134.26,7.04,75.2,94,75,3.65
Cam Ranh,109.15,11.92,78.8,100,20,5.82
Hailar,119.7,49.2,39.88,63,100,13.13
Dingle,122.67,11.0,73.07,91,95,2.51
Ciudad del Maiz,-99.6,22.4,82.0,47,2,8.01
East London,27.91,-33.02,64.05,56,90,6.02
Rikitea,-134.97,-23.12,61.86,86,100,10.13
Tocopilla,-70.2,-22.09,58.54,84,92,16.49
Thompson,-97.86,55.74,48.2,39,20,5.82
Barrow,-60.23,-38.31,50.57,51,0,10.94
Jega,4.38,12.22,81.35,52,14,4.74
Hobart,147.33,-42.88,50.65,76,90,5.82
Hermanus,19.24,-34.42,59.0,93,99,7.18
Ribeira Grande,-28.7,38.52,71.6,60,20,19.46
Boden,21.69,65.83,35.6,74,0,6.93
Touros,-35.46,-5.2,78.6,73,0,18.16
Ancud,-73.83,-41.87,51.8,53,20,5.82
Port Alfred,26.89,-33.59,61.0,93,100,1.99
Bilma,12.92,18.69,89.79,15,0,9.08
Burnie,145.91,-41.05,51.01,83,0,4.36
Westport,-73.36,41.14,83.34,78,20,8.05
Yellowknife,-114.38,62.45,48.09,66,75,10.29
Provideniya,-173.23,64.42,41.0,86,75,15.66
Albany,-73.75,42.65,58.86,93,90,8.05
Mar del Plata,-67.52,-46.43,53.72,22,92,10.47
Lorengau,147.27,-2.02,78.45,82,80,3.96
Sena Madureira,-68.66,-9.07,91.12,46,100,1.61
Ust-Tsilma,52.15,65.44,40.54,96,100,3.0
Arman,150.17,59.7,25.21,83,100,5.37
Jamestown,138.6,-33.21,48.32,91,0,3.51
Dickson,-87.39,36.08,95.16,30,1,11.41
Namatanai,152.44,-3.66,78.79,81,88,4.47
Pangnirtung,-65.72,66.15,39.2,80,75,6.93
Jalu,21.55,29.03,78.61,28,0,11.3
Suda,37.56,59.15,42.8,100,40,8.95
Olinda,145.39,-37.84,61.32,36,0,23.04
Fortuna,-124.16,40.6,62.67,55,20,8.05
Haines Junction,-137.51,60.75,39.55,64,10,4.09
Avarua,-159.78,-21.21,77.0,65,100,10.29
Boyolangu,111.9,-8.09,69.0,94,69,4.63
Lievin,2.78,50.42,46.67,70,0,6.93
Dovolnoye,79.67,54.5,38.71,74,40,7.25
Salalah,54.1,17.01,80.6,83,75,3.36
La Ronge,-105.3,55.1,42.8,56,90,8.05
Luderitz,15.16,-26.65,55.65,91,0,18.48
Hilo,-155.08,19.71,76.75,69,90,5.82
Ushuaia,-68.31,-54.81,44.82,75,75,26.4
Esperance,121.89,-33.86,57.2,93,40,8.05
San Patricio,-56.83,-26.98,70.05,96,100,6.4
Arraial do Cabo,-42.02,-22.97,75.2,69,0,25.28
Nipawin,-104.02,53.36,44.6,56,90,9.17
Atikokan,-91.62,48.76,45.37,65,100,4.88
Marsh Harbour,-77.06,26.54,80.4,79,0,15.97
Araouane,-3.53,18.9,97.35,15,91,5.46
Usinsk,57.56,66.0,40.18,83,63,14.12
Bambous Virieux,57.76,-20.34,75.09,83,40,11.41
Uchaly,59.38,54.32,35.65,83,99,5.1
Samarai,150.67,-10.62,74.35,92,100,5.86
Broken Hill,141.45,-31.97,75.2,15,0,13.87
Ballina,-9.15,54.11,49.03,81,90,2.24
Kodiak,-94.76,39.95,70.88,88,90,8.05
Georgetown,-58.16,6.8,86.83,74,40,9.17
Ponta do Sol,-46.0,-20.63,78.56,44,0,4.27
Tasiilaq,-37.64,65.61,39.2,69,90,33.33
Faanui,-151.75,-16.48,77.01,75,99,16.6
Upernavik,-56.15,72.79,37.05,71,0,11.48
Butaritari,172.79,3.07,84.64,62,100,5.19
Kavieng,150.8,-2.57,81.44,77,100,5.03
Nakusp,-117.8,50.24,46.79,48,39,4.85
Fairbanks,-147.72,64.84,34.77,96,90,6.93
Taos,-105.57,36.41,64.29,19,1,17.22
Kushiro,144.15,43.11,56.73,95,100,0.94
Ambilobe,49.05,-13.19,75.57,68,51,6.82
Saskylakh,114.09,71.97,14.57,84,1,1.63
Mananjary,46.8,-19.16,69.56,71,100,4.09
Tuktoyaktuk,-133.03,69.44,37.4,93,90,4.7
Mount Isa,139.49,-20.73,64.4,25,0,3.36
Nome,-94.42,30.04,89.96,52,40,8.05
Qaanaaq,-69.36,77.48,23.77,77,50,4.43
Shilong,113.84,23.11,82.33,78,0,2.24
Agaro,36.59,7.86,58.54,96,100,3.31
Coquimbo,-71.34,-29.95,62.6,45,0,16.11
Saldanha,-6.55,41.42,61.51,48,16,2.13
Bethel,-161.76,60.79,47.08,93,90,9.17
Chuy,-53.46,-33.69,54.76,88,100,23.89
Chokurdakh,147.9,70.62,25.73,94,99,14.25
Auki,6.51,12.18,75.9,77,10,8.34
Petropavlovsk-Kamchatskiy,158.65,53.05,48.2,76,40,4.47
Puerto Ayora,-90.35,-0.74,74.66,57,20,20.8
Waterfoot,-2.25,53.69,44.17,81,100,1.12
Sulangan,123.72,11.14,82.88,76,100,7.18
Oranjemund,16.43,-28.55,57.52,93,0,7.96
Abu Samrah,37.18,35.3,66.81,89,0,8.52
Praia,-43.81,-20.25,87.8,25,0,8.05
Lebu,38.73,8.96,60.8,77,75,6.93
Baruun-Urt,113.28,46.68,33.02,94,100,18.61
Kahului,-156.47,20.89,78.98,69,40,11.41
Victoria,115.24,5.28,76.6,88,75,2.24
Barcelos,-62.93,-0.97,89.5,54,13,4.45
Tura,100.22,64.27,32.95,98,100,5.39
Joao Pinheiro,-46.17,-17.74,84.64,27,0,4.74
Cidreira,-50.22,-30.17,65.29,87,100,10.96
Sioux Lookout,-91.92,50.1,41.74,70,75,5.82
Grand Gaube,57.66,-20.01,75.11,83,40,11.41
Stephenville,-58.59,48.55,48.07,66,75,9.17
Sri Aman,111.46,1.24,77.0,94,100,1.12
Taoudenni,-3.98,22.68,94.09,8,0,7.23
Wharton,-2.51,53.2,43.05,81,40,1.12
Banda Aceh,95.32,5.56,81.06,74,100,8.3
Tateyama,137.31,36.66,72.66,51,100,4.0
Kosa,130.82,32.67,75.0,88,60,16.96
Kohima,94.1,25.66,56.33,97,0,1.41
Tiksi,128.87,71.64,27.15,92,99,22.77
Namie,140.86,37.52,56.97,64,75,2.59
Port Keats,129.55,-14.25,73.36,86,0,4.85
Iqaluit,-68.52,63.75,41.0,75,75,12.75
Caravelas,-39.27,-17.73,72.49,74,0,7.47
Laje,-39.42,-13.18,68.91,89,50,9.33
Nikolskoye,30.79,59.7,43.29,93,75,4.47
Acajutla,-89.83,13.59,86.0,55,20,4.7
Tautira,-149.15,-17.73,80.26,65,20,4.7
Ilhabela,-45.36,-23.78,73.09,78,0,13.73
Adre,22.2,13.47,74.87,73,66,9.98
Twentynine Palms,-116.05,34.14,80.73,12,1,6.53
Mareeba,145.42,-16.99,69.91,83,75,13.87
Bluff,149.07,-23.58,62.32,76,0,14.56
Kitgum,32.88,3.3,68.08,95,31,0.56
Adrar,-0.29,27.87,95.0,13,0,6.93
San Quintin,120.52,17.54,72.84,91,68,3.47
Kodinsk,99.18,58.6,35.13,97,100,10.76
Mantua,10.79,45.16,63.91,88,20,6.93
Mahebourg,57.7,-20.41,75.09,83,40,11.41
Nanortalik,-45.24,60.14,42.78,74,100,2.42
Balikpapan,116.86,-1.24,70.48,97,38,2.06
Norman Wells,-126.83,65.28,44.6,93,90,2.98
Onega,38.09,63.91,39.79,77,53,16.15
Antalaha,50.28,-14.9,64.86,97,100,3.42
Hangu,71.06,33.53,71.6,64,40,4.7
Port Blair,92.75,11.67,81.48,72,33,4.59
Tuatapere,167.69,-46.13,43.0,92,100,5.01
Ladario,-7.74,40.7,60.6,80,94,0.89
Dikson,80.55,73.51,26.04,77,2,19.77
Nantucket,-70.1,41.28,68.22,82,90,11.41
Kamaishi,141.86,39.28,55.74,76,100,1.59
Leningradskiy,178.42,69.38,29.83,94,100,15.64
Portland,-70.25,43.66,56.75,77,90,9.17
Umm Lajj,37.27,25.02,83.04,78,0,9.42
Rome,12.48,41.89,63.0,82,20,6.93
Laguna,-88.94,16.17,86.0,74,40,4.7
Vitim,112.57,59.44,30.0,92,96,7.4
Clyde River,-68.59,70.47,37.4,93,75,5.82
Okha,142.95,53.59,40.8,62,48,26.33
Hermiston,-119.29,45.84,56.66,35,1,3.36
Duncan,-97.96,34.5,89.02,55,40,14.99
Leshukonskoye,45.76,64.9,34.08,95,100,12.73
Kirovskaya,40.04,46.97,57.2,76,0,8.95
Goure,10.27,13.98,90.0,40,90,5.99
Matara,29.48,-3.48,52.51,87,31,1.68
Sibolga,98.78,1.74,79.95,78,73,11.23
Shingu,135.99,33.72,62.5,95,33,7.72
Carnarvon,22.13,-30.97,59.43,18,0,8.16
Seoul,126.98,37.57,69.01,106,90,3.36
Pinega,43.39,64.7,35.13,95,90,12.46
Vaini,74.49,15.34,74.67,94,31,1.66
Eureka,-124.16,40.8,62.4,55,20,8.05
Klaksvik,-6.59,62.23,44.6,81,0,2.24
Videira,-51.15,-27.01,77.17,58,55,3.42
Khrebtovaya,104.25,56.71,29.96,86,83,7.85
Santona,-3.46,43.44,61.7,82,75,3.36
Kortkeros,51.56,61.81,44.6,93,75,6.71
Martin,-88.85,36.34,94.03,34,1,10.29
Vao,26.19,59.1,44.81,75,100,5.28
Husavik,-96.99,50.56,43.7,76,31,6.8
Thinadhoo,72.93,0.53,82.39,80,97,15.14
Elko,-115.76,40.83,50.97,37,1,4.7
Winnemucca,-117.74,40.97,54.57,26,1,3.33
Ixtapa,-105.21,20.71,87.89,58,40,8.05
Muros,-9.06,42.77,57.92,87,0,3.36
Huntington,-73.43,40.87,84.61,78,20,8.05
Vostok,135.83,46.45,58.67,91,92,3.51
Aksha,113.29,50.28,27.64,60,66,4.47
Atocha,-65.48,-24.82,61.84,25,0,8.05
Hambantota,81.12,6.12,81.15,78,0,6.71
Ola,151.3,59.58,33.69,77,100,10.42
Asosa,34.53,10.07,65.19,92,100,6.26
Lompoc,-120.46,34.64,73.74,20,1,4.7
Tecoanapa,-99.26,16.99,86.0,79,40,9.17
Hasilpur,72.55,29.69,80.72,46,100,5.23
Hasaki,140.83,35.73,62.33,93,40,1.12
Hatillo,-66.83,18.49,85.68,79,1,11.41
Basco,-91.2,40.33,78.84,88,90,5.82
Henties Bay,14.28,-22.12,63.0,87,0,5.99
Hays,-99.33,38.88,55.17,87,90,9.17
Guerrero Negro,-114.04,27.97,66.48,77,0,10.47
Padang,100.36,-0.92,77.86,84,43,14.5
Geraldton,-86.95,49.72,35.6,74,90,4.7
Maumere,122.22,-8.63,73.12,74,0,2.71
Batemans Bay,150.18,-35.71,47.93,90,0,1.01
High Level,-117.13,58.52,53.6,50,20,9.17
Tiarei,-149.33,-17.53,80.28,65,20,4.7
Codrington,153.24,-28.95,46.15,100,0,8.05
Castro,-73.76,-42.48,51.8,53,20,5.82
Mushie,16.92,-3.02,72.49,90,8,1.81
Melur,78.34,10.03,82.4,74,40,3.36
Opuwo,13.84,-18.06,59.37,46,0,2.89
Vanimo,141.3,-2.67,80.72,76,98,3.83
Kaitangata,169.85,-46.28,44.01,76,100,7.0
Port Lincoln,135.86,-34.72,56.78,84,100,7.16
Lethem,-59.8,3.38,93.21,44,90,6.4
Akita,140.1,39.72,67.98,61,100,3.71
Djenne,-4.55,13.91,85.2,54,68,5.23
Angoche,39.91,-16.23,76.83,86,73,5.97
Matagami,8.4,9.67,69.8,88,0,10.29
Komsomolskiy,63.78,67.55,38.28,83,61,20.07
Flinders,150.85,-34.58,55.04,62,0,8.05
Deputatskiy,139.9,69.3,20.96,87,100,24.4
Abha,42.5,18.22,65.34,88,0,11.32
Aklavik,-135.01,68.22,37.4,86,75,8.05
Tortoli,9.66,39.93,66.0,82,0,5.01
Sadat,44.17,14.53,67.26,82,52,1.59
Katsuura,134.5,33.93,77.11,78,75,28.86
Tutoia,-42.27,-2.76,78.72,70,52,8.7
Beringovskiy,179.32,63.05,33.15,75,100,2.62
Itumbiara,-49.22,-18.41,94.02,19,1,1.86
El Limon,-67.63,10.3,82.09,79,13,10.8
Bubaque,-15.83,11.28,81.15,83,100,10.38
Blagoyevo,47.92,63.37,39.16,94,52,5.7
Nizwa,57.53,22.93,78.92,47,87,1.28
Bermeo,-2.72,43.42,58.71,100,75,2.24
Norfolk,-76.29,36.85,93.88,44,40,8.25
Rawson,-65.11,-43.3,55.65,20,33,9.1
Udachnyy,112.4,66.42,23.0,92,90,4.47
Pisco,-76.2,-13.71,69.71,30,0,10.29
Alofi,-169.92,-19.06,77.0,88,100,3.36
Wanning,13.53,48.64,47.01,92,61,11.01
Helena,-112.04,46.59,48.52,42,1,12.75
Mbandaka,18.26,0.05,71.36,93,40,1.32
Paralimni,23.67,40.99,67.62,62,0,1.99
Cockburn Town,-71.14,21.46,84.2,74,40,5.82
Airai,125.41,-8.93,68.53,58,0,2.95
Vernon,-119.27,50.27,52.99,57,20,4.7
Lagunas,-75.68,-5.23,90.94,49,100,1.43
Rupert,-113.68,42.62,50.0,43,1,11.41
Nemuro,145.57,43.32,62.49,92,66,14.12
Nyimba,30.81,-14.56,69.36,75,75,0.76
Hulan Ergi,123.63,47.2,44.67,45,100,16.33
Nuristan,65.64,38.49,59.0,34,0,2.24
Iquitos,-73.25,-3.75,87.8,62,75,3.36
Kavaratti,72.64,10.57,81.64,76,22,7.78
Dawei,98.19,14.07,81.06,82,51,5.93
Biak,122.88,-0.91,60.18,96,7,3.04
